piInstitution,projects,cohort,match_method,ever_used
"University of Maryland, College Park",28,R1,xdmod,True
Ohio State University,28,R1,xdmod,True
Illinois Institute of Technology,28,R2,xdmod,True
University of Kentucky,26,R1,xdmod,True
Lehigh University,26,R1,xdmod,True
"University of California, Santa Cruz",26,R1,xdmod,True
Baylor University,26,R1,xdmod,True
Howard University,26,R1,xdmod,True
Colorado School of Mines,25,R1,xdmod,True
University of Delaware,25,R1,xdmod,True
Princeton University,25,R1,xdmod,True
Michigan State University,25,R1,xdmod,True
New Jersey Institute of Technology,22,R1,xdmod,True
University of Virginia,22,R1,xdmod,True
University of Oklahoma,21,R1,xdmod,True
University of Connecticut,21,R1,xdmod,True
Yale University,21,R1,xdmod,True
Colorado State University,20,R1,xdmod,True
"University of Massachusetts, Amherst",20,R1,xdmod,True
University of Notre Dame,20,R1,xdmod,True
Texas Tech University,20,R1,xdmod,True
Rensselaer Polytechnic Institute,19,R1,xdmod,True
Case Western Reserve University,19,R1,xdmod,True
Temple University,19,R1,xdmod,True
University of Utah,19,R1,xdmod,True
SUNY at Buffalo,19,R1,xdmod,True
Stevens Institute of Technology,18,R2,xdmod,True
University of Texas at Arlington,18,R1,xdmod,True
Weill Cornell Medical College,18,R1,xdmod,True
Virginia Polytechnic Institute and State University,18,R1,xdmod,True
Worcester Polytechnic Institute,18,R1,xdmod,True
University of Texas at San Antonio,17,R1,xdmod,True
Kansas State University,17,R1,xdmod,True
Duke University,17,R1,xdmod,True
George Mason University,17,R1,xdmod,True
Washington and Lee University,17,Other academic,xdmod,True
Oregon State University,17,R1,xdmod,True
Washington University in St. Louis,16,R1,xdmod,True
National Center for Supercomputing Applications,16,R1,xdmod,True
College of William and Mary,16,R1,xdmod,True
University of Cincinnati,16,R1,xdmod,True
Vanderbilt University,16,R1,xdmod,True
University of South Florida,16,R1,xdmod,True
"University of North Carolina, Chapel Hill",16,R1,xdmod,True
SUNY at Stony Brook,15,R1,xdmod,True
University of Miami,15,R1,xdmod,True
Auburn University,15,R1,xdmod,True
"University of Nevada, Las Vegas",14,R1,xdmod,True
Florida State University,14,R1,xdmod,True
Syracuse University,14,R1,xdmod,True
SUNY at Binghamton,13,R1,xdmod,True
University of Rochester,13,R1,xdmod,True
Emory University,13,R1,xdmod,True
Florida International University,13,R1,xdmod,True
Washington State University,13,R1,xdmod,True
Argonne National Laboratory,12,Non-academic,xdmod,True
San Diego State University,12,R1,xdmod,True
