pi_institution,total_ace,total_cpu_hours,total_node_hours,job_count,active_pi_count,active_allocation_count,active_person_count
Lafayette College - Lafayette College,1307.3804,15.48,12.6464,28.0,1.0,1.0,1.0
Lake Forest College - Lake Forest College,38541.0194,38540.9689,1527.8908,223.0,1.0,1.0,2.0
Lamar U - Lamar University,2778633.1025,2523348.1503,25481.9706,3378.0,4.0,5.0,15.0
Lamont-Doherty Earth Obs - Lamont-Doherty Earth Observatory,2997278.6824,787080.4356,29391.6558,2516.0,2.0,4.0,5.0
Last Energy,64.7576,41.8533,0.8719,2.0,1.0,1.0,1.0
Lawrence Technological - Lawrence Technological University,5176.9917,423.0983,80.9733,54.0,1.0,1.0,3.0
Le Moyne College - Le Moyne College,12.9765,3.4811,0.5933,13.0,1.0,1.0,1.0
Lehigh U - Lehigh University,19916173.0613,22431107.7975,424612.5914,32538.0,26.0,29.0,55.0
Lenoir–Rhyne University,49039.7405,4251.3014,384.1028,247.0,1.0,1.0,2.0
Long Island Jewish Hosp - Long Island Jewish Hospital,0.1248,0.0444,0.0006,1.0,1.0,1.0,1.0
Long Island U - Long Island University,6392480.3793,6291494.5208,49666.8406,353.0,1.0,2.0,2.0
Louisiana State U - Louisiana State University,1886453.0538,648049.1758,14345.195,691.0,5.0,5.0,9.0
Loyola U Chicago - Loyola University Chicago,9085340.3207,2100946.7506,222542.5647,120378.0,6.0,8.0,28.0
MCPHS U - Massachusetts College of Pharmacy and Health Sciences,11585.8756,10562.0533,656.8317,636.0,1.0,1.0,1.0
MIT - Massachusetts Institute of Technology,254374990.2053,196489182.35,7548195.0417,2881441.0,86.0,114.0,498.0
MU-RCSS - University of Missouri Research Computing Support Services,1.3725,1.3453,1.3453,3.0,1.0,1.0,1.0
Macalester College - Macalester College,1157.2774,1157.4133,25.8358,19.0,1.0,1.0,1.0
Manhattan College - Manhattan College,1029550.8141,936075.6042,21892.9053,9560.0,7.0,3.0,5.0
Marian U - Marian University,1633493.6677,1427165.455,17332.2069,22695.0,2.0,3.0,8.0
Marine Biological Lab - Marine Biological Laboratory,881106.4945,376082.0572,4100.6183,416.0,2.0,2.0,4.0
Marquette U - Marquette University,1859169.131,918927.8864,20373.2736,7127.0,3.0,4.0,8.0
Marshall U - Marshall University,128773.2235,1938.19,757.8072,2925.0,1.0,4.0,78.0
Mass Gen Hospital - Massachusetts General Hospital,700263.5224,336537.7225,12090.0219,4369.0,4.0,4.0,5.0
Massachusetts Eye and Ear,1411954.4575,167456.0819,14689.2614,209.0,1.0,1.0,1.0
Mayo Clinic,298751.8872,298751.5244,2415.4883,609.0,1.0,1.0,1.0
Med U of SC - Medical University of South Carolina,1964824.8799,1693547.4067,15831.5931,2577.0,1.0,1.0,7.0
Mederrata - Mederrata,915697.1739,105016.7247,7965.9919,2169.0,1.0,2.0,2.0
Meharry Med College - Meharry Medical College,3551.438,3122.0794,240.5167,624.0,2.0,2.0,17.0
Memorial Sloan Kettering - Memorial Sloan Kettering Cancer Center,43986.6492,43986.2733,853.2628,1607.0,1.0,1.0,1.0
"Merit Network, Inc.",1621.6857,150.5944,30.1189,25.0,1.0,1.0,1.0
Merrimack College - Merrimack College,520045.792,17652.5092,5159.3503,374.0,1.0,2.0,6.0
Miami U - Miami University,4132479.2563,2152168.1536,35169.3497,3832.0,2.0,4.0,5.0
Michigan State U - Michigan State University,221588803.4188,221998762.4772,3477252.8119,496966.0,24.0,30.0,67.0
Michigan Tech - Michigan Technological University,7498500.5927,6210075.7075,127140.2903,24582.0,11.0,13.0,22.0
Microsoft,196.394,580.84,12.1008,18.0,1.0,1.0,1.0
Middle Georgia State University,5517.9986,1096.0092,109.1708,104.0,1.0,1.0,1.0
Middle Tenn State U - Middle Tennessee State University,3046357.8514,2055296.0031,71377.4533,32546.0,11.0,15.0,145.0
Mississippi State U - Mississippi State University,2436973.4856,5514901.5731,102969.8111,11579.0,5.0,8.0,273.0
Missouri S&T - Missouri University of Science and Technology,11022174.4338,6248556.8358,98946.8711,7705.0,4.0,6.0,17.0
Missouri State U - Missouri State University,1594732.672,925249.6175,15817.4528,9544.0,2.0,3.0,4.0
Modulus Discovery,380250.7954,380422.8978,2975.5886,355.0,1.0,1.0,1.0
Moffitt Cancer Center,1194860.0661,132588.6153,16557.0786,975.0,3.0,3.0,13.0
Monell Chem Senses Ctr - Monell Chemical Senses Center,4759.4984,4759.8517,79.5883,74.0,1.0,1.0,1.0
Monmouth U - Monmouth University,957693.5554,957693.4989,7482.0094,493.0,1.0,1.0,8.0
Montana State U - Montana State University,7067468.4634,5385952.7372,83525.4017,18356.0,6.0,9.0,12.0
Montgomery Botanical Center,0.0,0.0011,0.0011,1.0,1.0,1.0,1.0
Morehouse College - Morehouse College,90895.2524,90891.1053,751.3694,547.0,2.0,2.0,2.0
Morgan State U - Morgan State University,923589.9931,193450.6644,18201.4917,6520.0,9.0,10.0,14.0
Mote Marine Laboratory and Aquarium,1279.3063,463.7422,9.3017,45.0,1.0,1.0,2.0
Mount St. Mary's University,883.7732,6891.8864,166.6517,21.0,1.0,1.0,1.0
Mt Sinai Med Ctr - Mount Sinai Medical Center,112652.8168,369182.3408,7851.4944,411.0,1.0,1.0,1.0
Mt Sinai Sch of Med - Icahn School of Medicine at Mount Sinai,939347.8071,323917.3711,19318.9047,906.0,2.0,2.0,2.0
Murray State U - Murray State University,2813501.4037,2792457.0919,84734.2767,11750.0,2.0,6.0,63.0
NASA Ames - NASA Ames Research Center,6594.0483,2128.2925,107.9608,43.0,2.0,2.0,2.0
NASA Goddard - NASA Goddard Space Flight Center,336348.9925,336348.6392,3237.1425,161.0,1.0,2.0,3.0
NC A&T State U - North Carolina A&T State University,6337370.8903,6345101.3061,62064.2717,3251.0,4.0,5.0,21.0
NC Central U - North Carolina Central University,403048.1003,438270.7892,7628.0344,13204.0,4.0,5.0,12.0
NC Sch Sci and Math - North Carolina School of Science and Mathematics,243441.3875,163808.9747,4165.6189,1090.0,1.0,1.0,54.0
NC State U - North Carolina State University,42121593.6116,38184333.2056,594236.7303,126240.0,35.0,44.0,139.0
NCAR - NSF National Center for Atmospheric Research,87813.8374,86068.025,754.2978,3376.0,3.0,3.0,5.0
NCSA - National Center for Supercomputing Applications,21682054.0271,10069528.7172,156115.9308,412156.0,13.0,31.0,1486.0
ND State U - North Dakota State University,660087.5912,447618.6992,5363.5114,1208.0,4.0,5.0,9.0
NERSC - National Energy Research Scientific Computing Center,449.8097,5.2339,1.6861,5.0,1.0,1.0,1.0
NETL - National Energy Technology Laboratory,2491743.0906,1919675.1131,35577.7647,5013.0,6.0,7.0,9.0
NGHS - Northeast Georgia Health System,95338.4491,93529.4789,744.9056,470.0,1.0,1.0,1.0
NIA - National Institute of Aerospace,5227.6499,27.4039,27.4039,43.0,1.0,2.0,2.0
"NICS - University of Tennessee, Knoxville",49745698.0473,31583286.1289,608506.1828,78266.0,42.0,55.0,226.0
NIH - National Institutes of Health,222035.311,12929.2117,1634.7586,10596.0,1.0,1.0,1.0
NIST - National Institute of Standards and Technology,3127739.0979,1491862.1275,29751.3119,5525.0,7.0,8.0,20.0
NJIT - New Jersey Institute of Technology,22088018.8409,17342709.0514,1039639.2511,346193.0,26.0,36.0,91.0
NLM - National Library of Medicine,149144.301,8437.6481,1024.5025,3931.0,1.0,1.0,2.0
NM State U - New Mexico State University,22962434.8369,26417564.3172,733991.7803,465705.0,12.0,17.0,46.0
NOAA - National Oceanic and Atmospheric Administration,2173511.0113,648251.3411,18040.2864,1856.0,1.0,1.0,5.0
NRAO - National Radio Astronomy Observatory,498.4715,1518.27,37.0425,16.0,1.0,1.0,1.0
NSF - National Science Foundation,896882.775,3633200.3331,56248.1667,1038.0,1.0,1.0,1.0
NSF's NOIRLab Headquarters - National Optical-Infrared Astronomy Research Laboratory,4973.236,2316.2244,44.7578,62.0,1.0,1.0,2.0
NYU - New York University,1953230.7692,2839120.2822,52986.2564,778.0,4.0,4.0,6.0
National U - National University,27.9493,18.3156,0.1528,28.0,1.0,1.0,1.0
Navajo Tech - Navajo Technical University,1097969.0561,1097969.3156,8577.8853,507.0,1.0,2.0,1.0
Naval Postgrad School - Naval Postgraduate School,16390510.8241,16029157.6667,126375.2628,2496.0,4.0,5.0,4.0
Nazareth College - Nazareth College,57473.3296,57155.3689,1786.1053,1986.0,1.0,1.0,8.0
New England College,1400.2121,130.7111,3.2678,14.0,1.0,1.0,1.0
New Mexico Highlands U - New Mexico Highlands University,5539866.1177,3422296.1289,29121.6225,11011.0,1.0,3.0,1.0
New Mexico Tech - New Mexico Institute of Mining and Technology,4983624.6803,5040064.0594,100931.0994,6209.0,3.0,5.0,21.0
Nocturnal Inc.,5059.4547,303.71,75.9275,23.0,1.0,1.0,1.0
Northeastern U - Northeastern University,68977407.0747,33175548.5503,602899.8119,955809.0,46.0,59.0,186.0
Northern Arizona U - Northern Arizona University,6299.9563,5897.6178,49.2122,25.0,1.0,1.0,1.0
"Northern California Institute for Research and Education, Inc.",214003.4937,42552.9556,2201.4806,397.0,1.0,1.0,1.0
Northern Fei Tian College,142403.3938,40996.6356,1975.2878,1185.0,1.0,1.0,2.0
Northern Illinois U - Northern Illinois University,296590.0555,209283.0508,11151.9103,1605.0,1.0,1.0,1.0
Northwestern U - Northwestern University,102272494.354,83396621.16,1900863.72,974283.0,54.0,65.0,170.0
Nova SE U - Nova Southeastern University,237256.5974,244126.6428,29602.2644,46096.0,3.0,3.0,7.0
Nvidia - Nvidia Corporation,170.1915,15.8083,3.1617,11.0,1.0,1.0,1.0
ODU - Old Dominion University,72891.2596,42817.7089,787.0522,484.0,4.0,4.0,5.0
ORNL - Oak Ridge National Laboratory,9270500.4679,7271495.0011,154187.2606,14452.0,7.0,8.0,14.0
Oakland City University,0.2495,0.2183,0.2183,1.0,1.0,1.0,1.0
Oakland U - Oakland University,302943.7894,2361834.8039,49521.0161,399.0,2.0,2.0,4.0
Oberlin College - Oberlin College,1847734.4813,972347.0122,37891.5075,8584.0,1.0,2.0,7.0
Ohio State U - Ohio State University,59519166.0116,39011389.3656,671027.9256,334962.0,25.0,30.0,93.0
Ohio U - Ohio University,27609615.9461,22929304.6819,435593.4617,38911.0,7.0,10.0,38.0
Oklahoma School of Science and Math - Oklahoma School of Science and Math,41852.8916,37085.4311,410.8358,102.0,1.0,2.0,1.0
Oklahoma State U - Oklahoma State University,2165393.1,3403578.8633,55580.7708,2807.0,10.0,10.0,16.0
Olds Research,72821.2615,49404.1356,706.6617,1530.0,1.0,1.0,69.0
"OncoC4, Inc.",938671.1585,225653.1422,3567.8306,311.0,1.0,1.0,1.0
Oregon Health & Sci U - Oregon Health and Science University,37252.4799,34495.5942,592.5086,582.0,1.0,1.0,4.0
Oregon State U - Oregon State University,63413792.8754,39305607.3997,759874.7614,134383.0,19.0,21.0,50.0
Other,6555598.1034,6753673.3842,197292.2553,18006.0,12.0,12.0,45.0
Oxnard - Oxnard College,407.6362,205.1339,47.6675,255.0,1.0,1.0,1.0
PNL - Pacific Northwest National Laboratory,92650.8204,4096.8228,775.0458,686.0,1.0,1.0,6.0
PSC - Pittsburgh Supercomputing Center,6664033.5642,1906875.0328,73588.88,52636.0,9.0,66.0,2539.0
Pace U - Pace University,135750.2028,39026.7972,2454.6714,3348.0,1.0,1.0,1.0
Penn State Greater Allegheny - Penn State Greater Allegheny,4872.1692,18165.1442,339.6267,17.0,1.0,1.0,1.0
Penn State U - Pennsylvania State University,266608284.1101,198186043.2025,6197825.8447,1768920.0,76.0,91.0,355.0
Peptilogics Inc.,3433.6515,680.525,31.0336,86.0,1.0,1.0,2.0
Philander Smith College - Philander Smith College,193734.7308,193773.4547,2170.4519,148.0,1.0,1.0,1.0
Physical Studies Inst - Physical Studies Institute LLC,4614.0121,3669.4981,2136.1361,1584.0,1.0,3.0,1.0
Pittsford Central School District,12514.3178,1957.1328,178.6597,239.0,1.0,1.0,1.0
Planetary Sci Inst - Planetary Science Institute,354056.5226,264814.8267,5516.9528,252.0,1.0,2.0,1.0
Point Loma Nazarene University,456918.5851,455601.7778,7118.7778,9529.0,1.0,2.0,12.0
Portland State U - Portland State University,4084365.5874,3974607.2311,111690.5056,96396.0,4.0,5.0,66.0
Prairie View A&M - Prairie View A&M University,23042.1112,8275.0114,1462.6197,1135.0,4.0,6.0,19.0
Prarieview - Prarieview A&M,7949327.3442,6688539.0692,97667.6928,20618.0,1.0,3.0,98.0
"Predictive Science - Predictive Science, Inc.",16945009.9195,10151489.0836,129188.2411,2483.0,2.0,3.0,8.0
Princeton U - Princeton University,144195780.398,132524848.0033,2660886.2428,114504.0,35.0,43.0,57.0
Purdue - Purdue University,182539801.36,155540169.8728,3395926.905,1603670.0,233.0,292.0,6446.0
QodeX Quantum,89392.9752,2910.5178,821.7672,92.0,1.0,1.0,2.0
RIT - Rochester Institute of Technology,77578422.3595,65550161.5289,1796470.5344,325277.0,12.0,18.0,47.0
RPI - Rensselaer Polytechnic Institute,33746638.9669,51426220.1769,1217361.2625,114308.0,25.0,32.0,72.0
Reed College - Reed College,5516805.7895,2556823.1544,177829.8903,19492.0,4.0,6.0,18.0
Retired - Retired,5848.5245,5848.9644,127.7589,335.0,1.0,1.0,1.0
Rice U - Rice University,84902008.7342,58424299.1228,1878414.7403,277880.0,37.0,42.0,160.0
Roanoke College - Roanoke College,3642.2734,3642.1867,40.5506,131.0,1.0,1.0,3.0
Robert Morris U - Robert Morris University,4178754.5075,4179797.3289,51137.4706,8295.0,2.0,6.0,7.0
Rockefeller U - Rockefeller University,429460.4779,206980.7881,24521.8428,971.0,1.0,2.0,1.0
RocketML.net - RocketML,262.3994,24.3667,4.8733,8.0,1.0,1.0,1.0
Rosalind Franklin U - Rosalind Franklin University,783.9541,11.4836,11.4836,8.0,1.0,1.0,1.0
Rose-Hulman Tech - Rose-Hulman Institute of Technology,1461536.0908,1330289.2147,33153.9339,30680.0,3.0,5.0,5.0
Rowan U - Rowan University,2131648.013,2032482.3861,93970.9319,47760.0,13.0,15.0,51.0
"Rutgers U - Rutgers, the State University of New Jersey",133726288.7267,105287505.7083,2172203.7397,510682.0,45.0,50.0,187.0
S Methodist U - Southern Methodist University,1830.1828,354.9658,7.3742,103.0,1.0,1.0,1.0
SCCWRP - Southern California Coastal Water Research Project,47820.5752,47771.57,374.5239,201.0,1.0,1.0,1.0
SD Sch of Mines & Tech - South Dakota School of Mines and Technology,572769.8546,562944.2992,4438.2608,300.0,3.0,3.0,5.0
SD State U - South Dakota State University,292.2204,68.2228,7.9397,31.0,1.0,1.0,1.0
SDSC - San Diego Supercomputer Center,1009821.1991,675786.2694,19667.7975,37685.0,6.0,8.0,83.0
SFEI - San Francisco Estuary Institute,14993.8237,12495.0044,97.6172,24.0,1.0,1.0,1.0
SIO - Scripps Institution of Oceanography,1230178.6761,862724.7314,14244.6956,4743.0,4.0,6.0,15.0
"SIU Carbondale - Southern Illinois University, Carbondale",2142965.8744,982663.0503,21774.8278,10338.0,6.0,6.0,15.0
SJU NY - St. Joseph's University (NY),21694.4288,21696.1122,2895.0139,1911.0,1.0,2.0,21.0
SMA at Aberdeen High School - Science and Mathematics Academy at Aberdeen High School,1773.4107,293.5619,81.3442,384.0,1.0,2.0,3.0
SMCM - St. Mary's College of Maryland,5303.8867,643.6525,83.4806,269.0,1.0,1.0,2.0
SRI International - SRI International,3907.1683,734.7656,18.3372,35.0,1.0,1.0,1.0
SRNL - Savannah River National Laboratory,1834766.1114,1709437.5106,28420.7172,2112.0,1.0,2.0,2.0
STScI - Space Telescope Science Institute,4398120.4068,2963274.4694,56812.0306,133097.0,9.0,11.0,10.0
SUNY Albany - SUNY at Albany,7015698.4216,6442677.7189,60578.8911,5994.0,3.0,6.0,15.0
SUNY Binghamton - SUNY at Binghamton,101963376.8794,73381934.1742,1741955.4575,315369.0,20.0,29.0,92.0
SUNY Buffalo - SUNY at Buffalo,14049530.6008,8552136.9289,222624.7622,64662.0,17.0,22.0,48.0
SUNY College Buffalo - SUNY College at Buffalo,1368979.1004,1235580.1006,13368.1761,2161.0,1.0,5.0,7.0
SUNY Downstate Med Ctr - SUNY Downstate Health Sciences University,3745225.6535,4673125.8753,121519.3481,105468.0,3.0,4.0,13.0
SUNY ESF - SUNY College of Environmental Science and Forestry,43946.8463,852.7589,89.0583,44.0,1.0,1.0,2.0
SUNY Stony Brook - SUNY at Stony Brook,47955904.548,35109941.7064,747111.5528,94993.0,18.0,26.0,79.0
SURA - Southeastern Universities Research Association,34.188,34.3503,34.3503,26.0,1.0,1.0,1.0
Saginaw Valley State University,119211.6788,119211.8269,1078.4758,7725.0,1.0,1.0,35.0
Saint Anselm College - Saint Anselm College,621.7481,571.775,55.1608,87.0,1.0,1.0,2.0
Salk Institute - Salk Institute for Biological Studies,48893835.049,45139702.7867,917993.91,495300.0,2.0,2.0,39.0
San Diego State U - San Diego State University,2314937.5507,1879942.14,171066.7889,111741.0,17.0,30.0,72.0
San Diego Zoo - San Diego Zoo Institute for Conservation Research,795508.5158,320067.5144,107544.2153,117984.0,1.0,1.0,2.0
San Francisco State U - San Francisco State University,748656.3104,689562.9439,8775.8636,2459.0,6.0,6.0,6.0
San Jose State U - San Jose State University,635491.0475,130528.4786,6062.6692,1252.0,2.0,2.0,4.0
Santa Clara U - Santa Clara University,1383013.1636,171956.2078,37019.09,32010.0,2.0,3.0,19.0
Savannah State U - Savannah State University,119379.3749,15499.7858,2080.1375,2110.0,1.0,1.0,4.0
Scripps College - Scripps College,171465.5936,171294.1297,1463.4433,617.0,2.0,2.0,8.0
Seattle Children's Res Inst - Seattle Children's Research Institute,13202.196,33462.1333,866.7172,497.0,1.0,1.0,1.0
Seattle U - Seattle University,541890.4486,470924.2889,18526.6192,157361.0,3.0,6.0,27.0
Self Employed - Self Employed,26457.1714,457.7625,393.6936,43.0,1.0,1.0,1.0
Seoul Natl U - Seoul National University,250304.8225,662106.7122,12332.3614,1129.0,1.0,1.0,6.0
Seton Hall U - Seton Hall University,4191.2783,4191.2889,32.7444,141.0,1.0,1.0,2.0
Siena College - Siena College,6377.94,1404.0667,29.2514,177.0,1.0,1.0,8.0
Skidmore College - Skidmore College,394766.6105,392703.4653,22486.6961,8862.0,2.0,2.0,15.0
Slippery Rock U - Slippery Rock University,50811.5291,50816.8289,397.2372,82.0,2.0,2.0,3.0
Smith College - Smith College,18756.7534,1125.2119,252.5175,259.0,1.0,1.0,1.0
Smithsonian Astrophys Obs - Smithsonian Astrophysical Observatory,728.9288,607.5456,6.4542,29.0,1.0,1.0,1.0
Smithsonian Institution - Smithsonian Institution,402.0213,190.1525,29.795,32.0,1.0,1.0,1.0
"Solid Power Operating, Inc.",5336302.2023,3248870.7039,93431.0164,13091.0,1.0,1.0,4.0
Sonoma State U - Sonoma State University,2168091.0849,1755854.825,111901.6425,132103.0,1.0,2.0,2.0
Sound Ethics Inc.,50926.9449,7124.8656,735.3289,515.0,1.0,1.0,2.0
Southern Arkansas U - Southern Arkansas University,95552.0619,92436.2333,1840.0533,222.0,1.0,1.0,1.0
Southern Conn State U - Southern Connecticut State University,6658386.2998,6650850.5217,62842.2397,9211.0,1.0,2.0,2.0
Southern Oregon U - Southern Oregon University,4232.0794,4223.7106,34.2881,165.0,1.0,1.0,3.0
Southern U A&M - Southern University and A&M College,6135.7539,623.7275,130.6056,160.0,2.0,2.0,3.0
Southwest Res Inst - Southwest Research Institute,137301.1417,137282.4247,52374.6139,1450.0,1.0,1.0,1.0
Space Sci Inst - Space Science Institute,17377188.7204,40664034.5036,685484.7867,3781.0,4.0,4.0,5.0
Spatiolyx LLC,165664.4831,21817.6425,1349.2069,1185.0,1.0,1.0,1.0
Spelman College - Spelman College,434667.5401,283952.67,2360.6756,609.0,1.0,1.0,1.0
St Francis U - Saint Francis University,548.7554,493.0628,331.1839,83.0,1.0,1.0,1.0
St Louis U - Saint Louis University,913.3446,124.2844,18.4442,46.0,4.0,4.0,6.0
St. Cloud State University,1.7468,1.7156,0.1072,1.0,1.0,1.0,1.0
St. John's U - St. John's University,17182.9808,3139.3614,187.8864,357.0,1.0,1.0,5.0
St. Thomas Aquinas College,29560.5465,842.8158,302.4336,465.0,1.0,1.0,2.0
Stanford - Stanford University,154742094.0795,124906552.4989,1813903.5453,126629.0,89.0,110.0,207.0
Stanford Medicine - Stanford University School of Medicine,19916.4015,5185.1364,1025.6414,135.0,2.0,2.0,3.0
Stevens Inst of Tech - Stevens Institute of Technology,47572042.9222,27925183.9061,993786.3044,451427.0,11.0,21.0,64.0
StonyBrook - Stony Brook Supercomputing Center,3344457.6705,14039173.5925,324889.1247,5027.0,2.0,2.0,2.0
Sungkyunkwan U - Sungkyunkwan University,19878.096,19878.3264,832.9169,44.0,1.0,1.0,1.0
Swarthmore College - Swarthmore College,1944534.4064,1862975.1264,20487.8464,4778.0,4.0,5.0,28.0
Syracuse U - Syracuse University,37510905.8581,23949580.5817,473002.9969,94913.0,21.0,27.0,43.0
TACC - Texas Advanced Computing Center,112008.2351,56003.0647,944.2994,327.0,2.0,2.0,5.0
TACC - University of Texas at Austin,302133619.4398,225873037.2864,4050030.9547,1285447.0,64.0,89.0,259.0
TAMIU - Texas A&M International University,1040.8634,1103.0689,19.1656,49.0,1.0,1.0,1.0
TAMU - Texas A&M University,66876709.9632,55658477.9456,3194738.9822,1389759.0,95.0,107.0,1004.0
TSRI - Scripps Research Institute,2658708.0916,1315220.6761,1049651.4119,330160.0,3.0,4.0,5.0
TTU - Texas Tech University,91840759.1241,49454358.4631,1104650.8333,23227.0,15.0,17.0,23.0
"Tandav-Sci, Inc.",682.0138,73.8422,7.8075,123.0,1.0,1.0,1.0
Tarleton State U - Tarleton State University,4894.2542,10828.7617,188.8514,32.0,1.0,1.0,3.0
Temple U - Temple University,14502510.4498,14766032.5633,382822.0022,39235.0,17.0,18.0,37.0
Tennessee State U - Tennessee State University,55160.8959,55160.9244,430.9447,172.0,1.0,1.0,1.0
Tennessee Tech - Tennessee Technological University,2296159.2114,2097033.1244,20028.9383,3289.0,10.0,13.0,42.0
Texas A&M AgriLife Research - Texas A&M AgriLife Research,64137.2512,216622.8906,16374.5192,12055.0,4.0,4.0,6.0
"Texas A&M Kingsville - Texas A&M University, Kingsville",32787.8221,28821.85,370.9467,333.0,2.0,3.0,5.0
Texas A&M U-San Antonio - Texas A&M University-San Antonio,136848.2126,200865.3353,5833.5022,2014.0,1.0,2.0,14.0
Texas A&M University–Texarkana,50413.1262,50413.6261,814.7942,693.0,1.0,1.0,1.0
Texas Christian U - Texas Christian University,45372.138,419.4572,386.1369,1485.0,1.0,1.0,18.0
Texas Southern U - Texas Southern University,0.9982,1.0019,1.0019,2.0,1.0,1.0,1.0
Texas State U - Texas State University,330164.2024,23138.7069,1495.675,1596.0,4.0,5.0,11.0
The Carnegie Observatories - Observatories of the Carnegie Institution of Washington,386446.3161,1735719.7328,26937.8417,145.0,1.0,1.0,1.0
The Children's Hospital of Philadelphia - The Children's Hospital of Philadelphia,372407.0123,372406.7533,2909.4611,61.0,1.0,1.0,1.0
Thiel College - Thiel College,292243.5586,27136.8722,3965.1689,213.0,1.0,1.0,1.0
Thomas Jefferson U - Thomas Jefferson University,1744758.625,1744758.2839,844290.4772,335420.0,2.0,2.0,5.0
"Tokyo Electron America, Inc. - Tokyo Electron America",2092085.2205,752318.1986,20681.8608,7412.0,4.0,4.0,7.0
Towson U - Towson University,1123273.6914,555831.8806,21404.1361,27983.0,7.0,10.0,62.0
Trine U - Trine University,114884.2723,114884.0978,1950.1275,1521.0,1.0,1.0,13.0
Trinity College - Trinity College,401835.049,395060.7542,3650.1242,510.0,3.0,3.0,3.0
Tufts U - Tufts University,5176128.3923,7867655.7847,145903.4389,12029.0,5.0,7.0,35.0
Tulane U - Tulane University,10100391.9147,10162346.1419,239114.2744,122484.0,10.0,15.0,26.0
Tuskegee U - Tuskegee University,3973328.3424,3318017.9825,42391.62,14359.0,2.0,4.0,4.0
U Akron - University of Akron,799326.4708,753333.4811,8099.6397,1922.0,2.0,3.0,30.0
U Alabama - University of Alabama,22834586.9362,18947216.1656,984047.0936,819576.0,18.0,23.0,60.0
"U Alabama, Birmingham - University of Alabama, Birmingham",6213922.8898,5854132.0283,102176.6869,17663.0,14.0,14.0,8.0
"U Alabama, Huntsville - University of Alabama, Huntsville",38948348.119,35746978.7942,480171.3975,9135.0,4.0,7.0,14.0
"U Alaska, Fairbanks - University of Alaska, Fairbanks",300205.6273,191391.6808,3936.2858,1204.0,3.0,3.0,3.0
U Arizona - University of Arizona,75123896.4377,62248429.7806,1041873.8017,43167.0,32.0,36.0,65.0
U Arkansas - University of Arkansas,41882975.3572,22730459.8383,384372.1172,11905.0,9.0,13.0,49.0
"U Arkansas, Little Rock - University of Arkansas, Little Rock",2481.5023,338.1183,74.0761,38.0,1.0,2.0,2.0
"U Arkansas, Med. Sci - University of Arkansas for Medical Sciences",73068.4385,569434.0147,6717.4728,520.0,1.0,1.0,2.0
U British Columbia - University of British Columbia,193164.0152,188281.1508,1646.7047,309.0,2.0,2.0,5.0
U Central Florida - University of Central Florida,64483699.295,45375629.2292,1892259.1186,454886.0,87.0,93.0,212.0
U Chicago - University of Chicago,171636868.1764,124454070.8753,2548751.3769,226489.0,42.0,46.0,134.0
U Cincinnati - University of Cincinnati,17187550.5646,7574116.4372,297761.8411,28531.0,11.0,13.0,47.0
U Connecticut - University of Connecticut,64421794.4975,131387768.5919,2602642.7467,48248.0,22.0,26.0,82.0
U Dayton - University of Dayton,1324444.0701,227962.7711,10896.0528,2716.0,4.0,4.0,5.0
U Denver - University of Denver,8051.0325,32099.3822,523.755,338.0,1.0,1.0,1.0
U Detroit Mercy - University of Detroit Mercy,145304.8849,145305.1078,1143.1189,3051.0,1.0,3.0,63.0
U District of Columbia - University of the District of Columbia,1026468.5258,1026468.6428,8032.2183,5281.0,1.0,1.0,4.0
U Florida - University of Florida,144711710.6494,143293032.3317,2482110.5467,328454.0,25.0,30.0,54.0
U Georgia - University of Georgia,1667372.3875,563447.7125,326359.1575,16464.0,7.0,7.0,9.0
U Glasgow - University of Glasgow,7385.1145,13300.8411,215.2322,32.0,1.0,1.0,1.0
U Hartford - University of Hartford,539950.9639,395365.385,3743.5975,127.0,2.0,2.0,5.0
U Hawaii System Office - University of Hawaii System Office,169778.2769,36731.0592,665.6964,465.0,1.0,1.0,2.0
"U Hawaii, Manoa - University of Hawaii, Manoa",12090162.206,8885536.3753,206336.6014,65013.0,17.0,21.0,40.0
U Houston - University of Houston,7892350.2402,6008633.2458,142866.8975,23060.0,13.0,15.0,31.0
U Houston-Clear Lake - University of Houston-Clear Lake,1400095.7015,105334.5347,7340.6753,5006.0,3.0,3.0,7.0
U Houston-Downtown - University of Houston-Downtown,1519995.1338,1519989.0675,11974.4083,1499.0,2.0,3.0,2.0
U Idaho - University of Idaho,662835.3609,514116.5581,11079.0281,1773.0,4.0,4.0,8.0
"U Illinois, Chicago - University of Illinois at Chicago",35974208.7466,28064732.1789,623619.5414,255212.0,74.0,84.0,164.0
"U Illinois, Springfield - University of Illinois at Springfield",223051.9683,1761.3747,1512.1603,341.0,3.0,4.0,9.0
U Indianapolis - University of Indianapolis,3761110.8616,7380525.2794,113487.9256,8554.0,2.0,4.0,4.0
U Iowa - University of Iowa,2497273.941,5311001.2439,163096.5428,90138.0,9.0,11.0,21.0
U Iowa Medicine - University of Iowa Carver College of Medicine,383.9291,12.0222,3.0056,19.0,1.0,1.0,1.0
U Kansas - University of Kansas,19281544.9498,9293421.7492,239628.7369,35188.0,14.0,15.0,35.0
"U Louisiana, Lafayette - University of Louisiana, Lafayette",242850.209,174703.9503,5456.9028,421.0,3.0,3.0,4.0
U Louisville - University of Louisville,5744703.2254,1372905.0442,106122.8358,92687.0,5.0,5.0,12.0
