pi_institution,total_ace,total_cpu_hours,total_node_hours,job_count,active_pi_count,active_allocation_count,active_person_count
Bucknell U - Bucknell University,448779.7118,409008.6486,8964.475,32565.0,2.0,3.0,9.0
CAIDA - Center for Applied Internet Data Analysis,851177.1165,741948.0206,8454.7658,3407.0,3.0,3.0,17.0
CAS - Czech Academy of Sciences,22010.2315,22010.175,171.9958,119.0,1.0,1.0,2.0
CCM - County College of Morris,1879342.4418,1879341.3708,14682.3564,2231.0,1.0,1.0,2.0
CCT-LSU - LSU Center for Computation and Technology,185029.509,119748.4481,753.0539,547.0,1.0,1.0,2.0
CFD Research Corp.,34372.0756,2639.1625,117.9189,109.0,1.0,1.0,2.0
CIG - Computational Infrastructure for Geodynamics,8828853.2036,9122639.0753,192683.7392,6557.0,1.0,1.0,24.0
CIW - Carnegie Institution for Science,19668637.7191,17729235.3792,995100.3775,40034.0,4.0,5.0,7.0
CMU - Carnegie Mellon University,654135189.4691,257370315.3214,8281931.8219,8333772.0,550.0,738.0,3693.0
"CRAFT Tech - Combustion Research and Flow Technology, Inc.",181268.3262,151056.9956,1180.1328,545.0,1.0,1.0,3.0
"CSRS, a Westwood Company",178457.5457,178458.0067,7761.0928,2543.0,1.0,1.0,1.0
CSU-Bakersfield - California State University-Bakersfield,2026.7016,197.6939,34.5886,45.0,1.0,1.0,3.0
CSU-Chico - California State University-Chico,41598.2282,3206.9208,340.4006,691.0,4.0,5.0,12.0
CSU-Fresno - California State University-Fresno,3866879.1565,4618853.5392,89972.8853,7825.0,4.0,4.0,25.0
CSU-Fullerton - California State University-Fullerton,13822422.2347,8653172.8061,159986.8661,24353.0,12.0,19.0,26.0
CSU-Los Angeles - California State University-Los Angeles,300506.5818,56667.3008,5561.2139,5998.0,4.0,4.0,291.0
CSU-Monterey Bay - California State University-Monterey Bay,4542148.1066,3207673.865,88338.8214,24476.0,1.0,3.0,1.0
CSU-Northridge - California State University-Northridge,2153073.8037,1448275.1547,22606.77,4153.0,3.0,4.0,5.0
CSU-Sacramento - California State University-Sacramento,1189075.4258,1026093.7503,953651.0503,114185.0,4.0,4.0,9.0
CSU-San Bernardino - California State University-San Bernardino,477386.8613,774418.9331,24155.1311,409.0,6.0,7.0,8.0
CSU-San Marcos - California State University-San Marcos,545692.0581,323388.6092,5621.7514,1018.0,2.0,2.0,2.0
"CU Anschutz - University of Colorado, Anschutz Medical Campus",562276.8732,311562.9014,29479.6756,815454.0,3.0,5.0,5.0
"CU Denver - University of Colorado, Denver",11321100.7549,14582010.1978,261452.3644,34451.0,8.0,11.0,28.0
CUNY - City University of New York,4516378.1895,2059706.0625,59591.9669,2978.0,5.0,7.0,14.0
CUNY Baruch College - CUNY Baruch College,1855048.9737,891187.6617,26554.2142,2907.0,5.0,7.0,11.0
