value,amount,group,dimension,metric
gpuA40x4-interactive,265942.9784,nonR1,queue,total_ace
large,160692.3701,nonR1,queue,total_ace
gpu-debug,157389.7311,nonR1,queue,total_ace
large-mem,152216.3579,nonR1,queue,total_ace
preempt,147164.0152,nonR1,queue,total_ace
development,112744.276,nonR1,queue,total_ace
debug,91593.4868,nonR1,queue,total_ace
RM-small,88958.0136,nonR1,queue,total_ace
gpuA100x8-interactive,68851.2072,nonR1,queue,total_ace
gpuA100x4-preempt,54481.3775,nonR1,queue,total_ace
gpu-preempt,54224.4682,nonR1,queue,total_ace
cpu-interactive,37959.3237,nonR1,queue,total_ace
amd-rtx,24817.8926,nonR1,queue,total_ace
gpuMI100x8,23189.7186,nonR1,queue,total_ace
flat-quadrant,17512.7581,nonR1,queue,total_ace
gpu_debug,7291.035,nonR1,queue,total_ace
gpu-t4,3346.5594,nonR1,queue,total_ace
cpu-preempt,2762.493,nonR1,queue,total_ace
gpu-v100,1113.8561,nonR1,queue,total_ace
nvdimm,1104.2485,nonR1,queue,total_ace
gpuMI100x8-interactive,277.3723,nonR1,queue,total_ace
short,270.0106,nonR1,queue,total_ace
bittware,149.3543,nonR1,queue,total_ace
,137.1265,nonR1,queue,total_ace
applications,25.8282,nonR1,queue,total_ace
nec,13.4756,nonR1,queue,total_ace
medium,7.9855,nonR1,queue,total_ace
milan-64core,0.0,nonR1,queue,total_ace
profiling,0.0,nonR1,queue,total_ace
skylake-36core,0.0,nonR1,queue,total_ace
shared,2325845.0,nonR1,queue,job_count
cpu,1729563.0,nonR1,queue,job_count
RM-shared,1570613.0,nonR1,queue,job_count
skx,158282.0,nonR1,queue,job_count
RM,133236.0,nonR1,queue,job_count
GPU,109350.0,nonR1,queue,job_count
gpuA100x4,80471.0,nonR1,queue,job_count
gpu-shared,79104.0,nonR1,queue,job_count
compute,73171.0,nonR1,queue,job_count
gpuA40x4,56999.0,nonR1,queue,job_count
ghx4,51732.0,nonR1,queue,job_count
wholenode,34947.0,nonR1,queue,job_count
skx-dev,18554.0,nonR1,queue,job_count
normal,18216.0,nonR1,queue,job_count
spr,17759.0,nonR1,queue,job_count
debug,17710.0,nonR1,queue,job_count
skx-normal,13245.0,nonR1,queue,job_count
short,10596.0,nonR1,queue,job_count
icx,8443.0,nonR1,queue,job_count
gpuA40x4-interactive,8270.0,nonR1,queue,job_count
standard,8213.0,nonR1,queue,job_count
RM-small,8002.0,nonR1,queue,job_count
gpuA100x4-interactive,6945.0,nonR1,queue,job_count
EM,5979.0,nonR1,queue,job_count
icx-normal,4719.0,nonR1,queue,job_count
development,4482.0,nonR1,queue,job_count
RM-512,3644.0,nonR1,queue,job_count
gpuA40x4-preempt,3255.0,nonR1,queue,job_count
gpu-debug,3243.0,nonR1,queue,job_count
ai,3223.0,nonR1,queue,job_count
NA,2973.0,nonR1,queue,job_count
highmem,2856.0,nonR1,queue,job_count
gpuH200x8,2811.0,nonR1,queue,job_count
gpuA100x8,2630.0,nonR1,queue,job_count
ghx4-interactive,2350.0,nonR1,queue,job_count
cpu-interactive,2153.0,nonR1,queue,job_count
GPU-small,1789.0,nonR1,queue,job_count
pvc,1674.0,nonR1,queue,job_count
gpuH200x8-interactive,1098.0,nonR1,queue,job_count
preempt,948.0,nonR1,queue,job_count
large-shared,887.0,nonR1,queue,job_count
h100,616.0,nonR1,queue,job_count
skylake-36core,575.0,nonR1,queue,job_count
wide,514.0,nonR1,queue,job_count
cpu-preempt,403.0,nonR1,queue,job_count
gpuA100x4-preempt,372.0,nonR1,queue,job_count
gpu_debug,364.0,nonR1,queue,job_count
long,306.0,nonR1,queue,job_count
gpu-preempt,254.0,nonR1,queue,job_count
gpuMI100x8,117.0,nonR1,queue,job_count
gpu-t4,107.0,nonR1,queue,job_count
gpu-v100,98.0,nonR1,queue,job_count
gpuA100x8-interactive,94.0,nonR1,queue,job_count
skx-large,40.0,nonR1,queue,job_count
large-mem,39.0,nonR1,queue,job_count
applications,26.0,nonR1,queue,job_count
bittware,16.0,nonR1,queue,job_count
gpuMI100x8-interactive,14.0,nonR1,queue,job_count
nec,14.0,nonR1,queue,job_count
flat-quadrant,11.0,nonR1,queue,job_count
amd-rtx,7.0,nonR1,queue,job_count
milan-64core,5.0,nonR1,queue,job_count
,4.0,nonR1,queue,job_count
nvdimm,3.0,nonR1,queue,job_count
large,2.0,nonR1,queue,job_count
medium,2.0,nonR1,queue,job_count
profiling,1.0,nonR1,queue,job_count
shared,231.0,nonR1,queue,active_pi_count
RM,164.0,nonR1,queue,active_pi_count
gpu,159.0,nonR1,queue,active_pi_count
RM-shared,144.0,nonR1,queue,active_pi_count
gpu-shared,142.0,nonR1,queue,active_pi_count
compute,125.0,nonR1,queue,active_pi_count
cpu,117.0,nonR1,queue,active_pi_count
debug,116.0,nonR1,queue,active_pi_count
RM-small,99.0,nonR1,queue,active_pi_count
gpuA100x4,88.0,nonR1,queue,active_pi_count
wholenode,79.0,nonR1,queue,active_pi_count
skx,69.0,nonR1,queue,active_pi_count
skx-dev,65.0,nonR1,queue,active_pi_count
gpuA100x4-interactive,62.0,nonR1,queue,active_pi_count
gpu-debug,60.0,nonR1,queue,active_pi_count
gpuA40x4,60.0,nonR1,queue,active_pi_count
gpuA40x4-interactive,44.0,nonR1,queue,active_pi_count
icx,44.0,nonR1,queue,active_pi_count
cpu-interactive,42.0,nonR1,queue,active_pi_count
normal,39.0,nonR1,queue,active_pi_count
gpuA100x8,38.0,nonR1,queue,active_pi_count
skx-normal,38.0,nonR1,queue,active_pi_count
spr,38.0,nonR1,queue,active_pi_count
RM-512,37.0,nonR1,queue,active_pi_count
gpuH200x8,33.0,nonR1,queue,active_pi_count
development,31.0,nonR1,queue,active_pi_count
standard,31.0,nonR1,queue,active_pi_count
large-shared,30.0,nonR1,queue,active_pi_count
GPU-small,29.0,nonR1,queue,active_pi_count
EM,28.0,nonR1,queue,active_pi_count
gpuH200x8-interactive,28.0,nonR1,queue,active_pi_count
ghx4,26.0,nonR1,queue,active_pi_count
highmem,25.0,nonR1,queue,active_pi_count
pvc,23.0,nonR1,queue,active_pi_count
ghx4-interactive,18.0,nonR1,queue,active_pi_count
gpu_debug,17.0,nonR1,queue,active_pi_count
wide,17.0,nonR1,queue,active_pi_count
NA,15.0,nonR1,queue,active_pi_count
gpuA100x4-preempt,14.0,nonR1,queue,active_pi_count
gpuA40x4-preempt,14.0,nonR1,queue,active_pi_count
h100,14.0,nonR1,queue,active_pi_count
icx-normal,14.0,nonR1,queue,active_pi_count
long,14.0,nonR1,queue,active_pi_count
ai,13.0,nonR1,queue,active_pi_count
applications,13.0,nonR1,queue,active_pi_count
gpuMI100x8,13.0,nonR1,queue,active_pi_count
gpuA100x8-interactive,12.0,nonR1,queue,active_pi_count
preempt,11.0,nonR1,queue,active_pi_count
cpu-preempt,9.0,nonR1,queue,active_pi_count
gpu-preempt,7.0,nonR1,queue,active_pi_count
gpuMI100x8-interactive,7.0,nonR1,queue,active_pi_count
nec,4.0,nonR1,queue,active_pi_count
gpu-t4,3.0,nonR1,queue,active_pi_count
gpu-v100,3.0,nonR1,queue,active_pi_count
short,3.0,nonR1,queue,active_pi_count
,2.0,nonR1,queue,active_pi_count
bittware,2.0,nonR1,queue,active_pi_count
large-mem,2.0,nonR1,queue,active_pi_count
amd-rtx,1.0,nonR1,queue,active_pi_count
flat-quadrant,1.0,nonR1,queue,active_pi_count
large,1.0,nonR1,queue,active_pi_count
medium,1.0,nonR1,queue,active_pi_count
milan-64core,1.0,nonR1,queue,active_pi_count
nvdimm,1.0,nonR1,queue,active_pi_count
profiling,1.0,nonR1,queue,active_pi_count
skx-large,1.0,nonR1,queue,active_pi_count
skylake-36core,1.0,nonR1,queue,active_pi_count
shared,1461.0,nonR1,queue,active_person_count
RM,802.0,nonR1,queue,active_person_count
compute,673.0,nonR1,queue,active_person_count
RM-shared,648.0,nonR1,queue,active_person_count
gpu-shared,545.0,nonR1,queue,active_person_count
gpu,516.0,nonR1,queue,active_person_count
RM-small,509.0,nonR1,queue,active_person_count
debug,504.0,nonR1,queue,active_person_count
cpu,450.0,nonR1,queue,active_person_count
gpuA40x4-interactive,418.0,nonR1,queue,active_person_count
wholenode,316.0,nonR1,queue,active_person_count
gpuA100x4,250.0,nonR1,queue,active_person_count
cpu-interactive,249.0,nonR1,queue,active_person_count
gpuA40x4,184.0,nonR1,queue,active_person_count
skx,174.0,nonR1,queue,active_person_count
skx-dev,170.0,nonR1,queue,active_person_count
gpuA100x4-interactive,167.0,nonR1,queue,active_person_count
gpu-debug,141.0,nonR1,queue,active_person_count
development,131.0,nonR1,queue,active_person_count
ghx4,118.0,nonR1,queue,active_person_count
normal,93.0,nonR1,queue,active_person_count
GPU-small,91.0,nonR1,queue,active_person_count
standard,83.0,nonR1,queue,active_person_count
highmem,79.0,nonR1,queue,active_person_count
skx-normal,76.0,nonR1,queue,active_person_count
ai,72.0,nonR1,queue,active_person_count
icx,66.0,nonR1,queue,active_person_count
pvc,60.0,nonR1,queue,active_person_count
RM-512,58.0,nonR1,queue,active_person_count
spr,57.0,nonR1,queue,active_person_count
gpuH200x8,53.0,nonR1,queue,active_person_count
gpuA100x8,51.0,nonR1,queue,active_person_count
ghx4-interactive,50.0,nonR1,queue,active_person_count
gpu_debug,50.0,nonR1,queue,active_person_count
large-shared,39.0,nonR1,queue,active_person_count
NA,38.0,nonR1,queue,active_person_count
EM,36.0,nonR1,queue,active_person_count
gpuH200x8-interactive,36.0,nonR1,queue,active_person_count
wide,31.0,nonR1,queue,active_person_count
applications,19.0,nonR1,queue,active_person_count
icx-normal,18.0,nonR1,queue,active_person_count
gpuA40x4-preempt,17.0,nonR1,queue,active_person_count
h100,17.0,nonR1,queue,active_person_count
short,17.0,nonR1,queue,active_person_count
gpuMI100x8,15.0,nonR1,queue,active_person_count
gpuA100x4-preempt,14.0,nonR1,queue,active_person_count
long,13.0,nonR1,queue,active_person_count
gpuA100x8-interactive,12.0,nonR1,queue,active_person_count
preempt,12.0,nonR1,queue,active_person_count
cpu-preempt,11.0,nonR1,queue,active_person_count
gpuMI100x8-interactive,8.0,nonR1,queue,active_person_count
gpu-preempt,7.0,nonR1,queue,active_person_count
nec,4.0,nonR1,queue,active_person_count
,3.0,nonR1,queue,active_person_count
gpu-t4,3.0,nonR1,queue,active_person_count
gpu-v100,3.0,nonR1,queue,active_person_count
bittware,2.0,nonR1,queue,active_person_count
large-mem,2.0,nonR1,queue,active_person_count
medium,2.0,nonR1,queue,active_person_count
amd-rtx,1.0,nonR1,queue,active_person_count
flat-quadrant,1.0,nonR1,queue,active_person_count
large,1.0,nonR1,queue,active_person_count
milan-64core,1.0,nonR1,queue,active_person_count
nvdimm,1.0,nonR1,queue,active_person_count
profiling,1.0,nonR1,queue,active_person_count
skx-large,1.0,nonR1,queue,active_person_count
skylake-36core,1.0,nonR1,queue,active_person_count
shared,317.0,nonR1,queue,active_allocation_count
RM,215.0,nonR1,queue,active_allocation_count
gpu,199.0,nonR1,queue,active_allocation_count
RM-shared,180.0,nonR1,queue,active_allocation_count
gpu-shared,176.0,nonR1,queue,active_allocation_count
compute,167.0,nonR1,queue,active_allocation_count
debug,148.0,nonR1,queue,active_allocation_count
cpu,136.0,nonR1,queue,active_allocation_count
RM-small,120.0,nonR1,queue,active_allocation_count
gpuA100x4,100.0,nonR1,queue,active_allocation_count
wholenode,95.0,nonR1,queue,active_allocation_count
skx,84.0,nonR1,queue,active_allocation_count
skx-dev,82.0,nonR1,queue,active_allocation_count
gpu-debug,78.0,nonR1,queue,active_allocation_count
gpuA40x4,68.0,nonR1,queue,active_allocation_count
gpuA100x4-interactive,67.0,nonR1,queue,active_allocation_count
icx,49.0,nonR1,queue,active_allocation_count
gpuA40x4-interactive,48.0,nonR1,queue,active_allocation_count
cpu-interactive,45.0,nonR1,queue,active_allocation_count
spr,44.0,nonR1,queue,active_allocation_count
normal,42.0,nonR1,queue,active_allocation_count
RM-512,42.0,nonR1,queue,active_allocation_count
gpuA100x8,40.0,nonR1,queue,active_allocation_count
skx-normal,40.0,nonR1,queue,active_allocation_count
gpuH200x8,35.0,nonR1,queue,active_allocation_count
large-shared,35.0,nonR1,queue,active_allocation_count
development,34.0,nonR1,queue,active_allocation_count
GPU-small,34.0,nonR1,queue,active_allocation_count
standard,34.0,nonR1,queue,active_allocation_count
EM,31.0,nonR1,queue,active_allocation_count
ghx4,31.0,nonR1,queue,active_allocation_count
highmem,31.0,nonR1,queue,active_allocation_count
gpuH200x8-interactive,28.0,nonR1,queue,active_allocation_count
pvc,24.0,nonR1,queue,active_allocation_count
ghx4-interactive,22.0,nonR1,queue,active_allocation_count
gpu_debug,18.0,nonR1,queue,active_allocation_count
wide,18.0,nonR1,queue,active_allocation_count
ai,17.0,nonR1,queue,active_allocation_count
gpuA40x4-preempt,17.0,nonR1,queue,active_allocation_count
h100,16.0,nonR1,queue,active_allocation_count
icx-normal,15.0,nonR1,queue,active_allocation_count
NA,15.0,nonR1,queue,active_allocation_count
applications,14.0,nonR1,queue,active_allocation_count
gpuA100x4-preempt,14.0,nonR1,queue,active_allocation_count
gpuMI100x8,13.0,nonR1,queue,active_allocation_count
long,13.0,nonR1,queue,active_allocation_count
gpuA100x8-interactive,12.0,nonR1,queue,active_allocation_count
preempt,11.0,nonR1,queue,active_allocation_count
cpu-preempt,9.0,nonR1,queue,active_allocation_count
gpu-preempt,7.0,nonR1,queue,active_allocation_count
gpuMI100x8-interactive,7.0,nonR1,queue,active_allocation_count
nec,4.0,nonR1,queue,active_allocation_count
gpu-t4,3.0,nonR1,queue,active_allocation_count
gpu-v100,3.0,nonR1,queue,active_allocation_count
short,3.0,nonR1,queue,active_allocation_count
,2.0,nonR1,queue,active_allocation_count
bittware,2.0,nonR1,queue,active_allocation_count
large-mem,2.0,nonR1,queue,active_allocation_count
amd-rtx,1.0,nonR1,queue,active_allocation_count
flat-quadrant,1.0,nonR1,queue,active_allocation_count
large,1.0,nonR1,queue,active_allocation_count
medium,1.0,nonR1,queue,active_allocation_count
milan-64core,1.0,nonR1,queue,active_allocation_count
nvdimm,1.0,nonR1,queue,active_allocation_count
profiling,1.0,nonR1,queue,active_allocation_count
skx-large,1.0,nonR1,queue,active_allocation_count
skylake-36core,1.0,nonR1,queue,active_allocation_count
New York,117411255.5992,nonR1,pi_institution_state,total_ace
California,96440382.6814,nonR1,pi_institution_state,total_ace
New Jersey,53953295.4021,nonR1,pi_institution_state,total_ace
Alabama,44270829.4965,nonR1,pi_institution_state,total_ace
Illinois,37007402.9571,nonR1,pi_institution_state,total_ace
Pennsylvania,34105981.6582,nonR1,pi_institution_state,total_ace
Texas,34009638.4054,nonR1,pi_institution_state,total_ace
Massachusetts,17524884.2723,nonR1,pi_institution_state,total_ace
Ohio,17227211.4293,nonR1,pi_institution_state,total_ace
Georgia,15880440.5765,nonR1,pi_institution_state,total_ace
New Mexico,11621459.854,nonR1,pi_institution_state,total_ace
North Carolina,10606415.996,nonR1,pi_institution_state,total_ace
Oregon,10269907.5426,nonR1,pi_institution_state,total_ace
Florida,9175154.5324,nonR1,pi_institution_state,total_ace
Tennessee,8804638.8421,nonR1,pi_institution_state,total_ace
Connecticut,8297869.1122,nonR1,pi_institution_state,total_ace
South Carolina,7919406.5756,nonR1,pi_institution_state,total_ace
Indiana,7431382.4942,nonR1,pi_institution_state,total_ace
Michigan,6948876.4115,nonR1,pi_institution_state,total_ace
District of Columbia,5901074.3028,nonR1,pi_institution_state,total_ace
Maryland,5021030.7568,nonR1,pi_institution_state,total_ace
Kentucky,4868556.4914,nonR1,pi_institution_state,total_ace
Delaware,3943054.339,nonR1,pi_institution_state,total_ace
Iowa,3668209.3705,nonR1,pi_institution_state,total_ace
Colorado,2976616.258,nonR1,pi_institution_state,total_ace
Wisconsin,2046633.2273,nonR1,pi_institution_state,total_ace
Missouri,1970827.6249,nonR1,pi_institution_state,total_ace
Minnesota,1944938.6737,nonR1,pi_institution_state,total_ace
Nebraska,1826747.8944,nonR1,pi_institution_state,total_ace
Washington,1690528.1677,nonR1,pi_institution_state,total_ace
Utah,1368397.2799,nonR1,pi_institution_state,total_ace
Puerto Rico,1311427.7871,nonR1,pi_institution_state,total_ace
Virginia,986491.9833,nonR1,pi_institution_state,total_ace
Arkansas,982053.2784,nonR1,pi_institution_state,total_ace
Maine,934067.877,nonR1,pi_institution_state,total_ace
Idaho,915875.3509,nonR1,pi_institution_state,total_ace
Louisiana,745334.3315,nonR1,pi_institution_state,total_ace
South Dakota,573102.2522,nonR1,pi_institution_state,total_ace
Virgin Islands,412611.6414,nonR1,pi_institution_state,total_ace
West Virginia,371546.0727,nonR1,pi_institution_state,total_ace
Alaska,300205.6273,nonR1,pi_institution_state,total_ace
Mississippi,231639.7779,nonR1,pi_institution_state,total_ace
Kansas,172427.4752,nonR1,pi_institution_state,total_ace
Unknown,41852.8916,nonR1,pi_institution_state,total_ace
New Hampshire,2021.9602,nonR1,pi_institution_state,total_ace
California,2191983.0,nonR1,pi_institution_state,job_count
Illinois,1250205.0,nonR1,pi_institution_state,job_count
New York,799170.0,nonR1,pi_institution_state,job_count
Pennsylvania,571190.0,nonR1,pi_institution_state,job_count
New Jersey,525648.0,nonR1,pi_institution_state,job_count
Washington,159735.0,nonR1,pi_institution_state,job_count
Oregon,126819.0,nonR1,pi_institution_state,job_count
Texas,117509.0,nonR1,pi_institution_state,job_count
South Carolina,95287.0,nonR1,pi_institution_state,job_count
Massachusetts,94747.0,nonR1,pi_institution_state,job_count
Michigan,79043.0,nonR1,pi_institution_state,job_count
Indiana,65097.0,nonR1,pi_institution_state,job_count
Iowa,61807.0,nonR1,pi_institution_state,job_count
Ohio,59859.0,nonR1,pi_institution_state,job_count
North Carolina,52347.0,nonR1,pi_institution_state,job_count
Tennessee,50964.0,nonR1,pi_institution_state,job_count
Georgia,46578.0,nonR1,pi_institution_state,job_count
Maryland,37866.0,nonR1,pi_institution_state,job_count
Alabama,25154.0,nonR1,pi_institution_state,job_count
Florida,24213.0,nonR1,pi_institution_state,job_count
Colorado,23494.0,nonR1,pi_institution_state,job_count
New Mexico,17727.0,nonR1,pi_institution_state,job_count
Minnesota,14472.0,nonR1,pi_institution_state,job_count
District of Columbia,13357.0,nonR1,pi_institution_state,job_count
Kentucky,13300.0,nonR1,pi_institution_state,job_count
Connecticut,12382.0,nonR1,pi_institution_state,job_count
Missouri,9771.0,nonR1,pi_institution_state,job_count
Puerto Rico,9163.0,nonR1,pi_institution_state,job_count
Utah,8773.0,nonR1,pi_institution_state,job_count
Wisconsin,7793.0,nonR1,pi_institution_state,job_count
Arkansas,5607.0,nonR1,pi_institution_state,job_count
Delaware,5106.0,nonR1,pi_institution_state,job_count
West Virginia,4641.0,nonR1,pi_institution_state,job_count
Virginia,4112.0,nonR1,pi_institution_state,job_count
Virgin Islands,2409.0,nonR1,pi_institution_state,job_count
Nebraska,1600.0,nonR1,pi_institution_state,job_count
Idaho,1321.0,nonR1,pi_institution_state,job_count
Alaska,1204.0,nonR1,pi_institution_state,job_count
Louisiana,946.0,nonR1,pi_institution_state,job_count
Kansas,762.0,nonR1,pi_institution_state,job_count
South Dakota,337.0,nonR1,pi_institution_state,job_count
Mississippi,170.0,nonR1,pi_institution_state,job_count
Maine,113.0,nonR1,pi_institution_state,job_count
Unknown,102.0,nonR1,pi_institution_state,job_count
New Hampshire,101.0,nonR1,pi_institution_state,job_count
California,119.0,nonR1,pi_institution_state,active_pi_count
New York,99.0,nonR1,pi_institution_state,active_pi_count
Pennsylvania,55.0,nonR1,pi_institution_state,active_pi_count
Illinois,52.0,nonR1,pi_institution_state,active_pi_count
Texas,49.0,nonR1,pi_institution_state,active_pi_count
New Jersey,37.0,nonR1,pi_institution_state,active_pi_count
Tennessee,35.0,nonR1,pi_institution_state,active_pi_count
Maryland,31.0,nonR1,pi_institution_state,active_pi_count
North Carolina,27.0,nonR1,pi_institution_state,active_pi_count
Georgia,23.0,nonR1,pi_institution_state,active_pi_count
Massachusetts,20.0,nonR1,pi_institution_state,active_pi_count
Michigan,19.0,nonR1,pi_institution_state,active_pi_count
Ohio,18.0,nonR1,pi_institution_state,active_pi_count
Indiana,14.0,nonR1,pi_institution_state,active_pi_count
Virginia,13.0,nonR1,pi_institution_state,active_pi_count
Florida,12.0,nonR1,pi_institution_state,active_pi_count
Puerto Rico,12.0,nonR1,pi_institution_state,active_pi_count
Oregon,11.0,nonR1,pi_institution_state,active_pi_count
Connecticut,10.0,nonR1,pi_institution_state,active_pi_count
Alabama,8.0,nonR1,pi_institution_state,active_pi_count
Arkansas,8.0,nonR1,pi_institution_state,active_pi_count
South Carolina,8.0,nonR1,pi_institution_state,active_pi_count
Iowa,6.0,nonR1,pi_institution_state,active_pi_count
Kansas,6.0,nonR1,pi_institution_state,active_pi_count
Washington,6.0,nonR1,pi_institution_state,active_pi_count
Wisconsin,6.0,nonR1,pi_institution_state,active_pi_count
Kentucky,5.0,nonR1,pi_institution_state,active_pi_count
Minnesota,5.0,nonR1,pi_institution_state,active_pi_count
Missouri,5.0,nonR1,pi_institution_state,active_pi_count
South Dakota,5.0,nonR1,pi_institution_state,active_pi_count
Idaho,4.0,nonR1,pi_institution_state,active_pi_count
Louisiana,4.0,nonR1,pi_institution_state,active_pi_count
New Mexico,4.0,nonR1,pi_institution_state,active_pi_count
West Virginia,4.0,nonR1,pi_institution_state,active_pi_count
Alaska,3.0,nonR1,pi_institution_state,active_pi_count
Colorado,3.0,nonR1,pi_institution_state,active_pi_count
Delaware,3.0,nonR1,pi_institution_state,active_pi_count
District of Columbia,3.0,nonR1,pi_institution_state,active_pi_count
Utah,3.0,nonR1,pi_institution_state,active_pi_count
Maine,2.0,nonR1,pi_institution_state,active_pi_count
Mississippi,2.0,nonR1,pi_institution_state,active_pi_count
Nebraska,2.0,nonR1,pi_institution_state,active_pi_count
New Hampshire,2.0,nonR1,pi_institution_state,active_pi_count
Unknown,1.0,nonR1,pi_institution_state,active_pi_count
Virgin Islands,1.0,nonR1,pi_institution_state,active_pi_count
California,854.0,nonR1,pi_institution_state,active_person_count
Illinois,440.0,nonR1,pi_institution_state,active_person_count
Massachusetts,375.0,nonR1,pi_institution_state,active_person_count
Texas,301.0,nonR1,pi_institution_state,active_person_count
New York,288.0,nonR1,pi_institution_state,active_person_count
Pennsylvania,280.0,nonR1,pi_institution_state,active_person_count
Tennessee,275.0,nonR1,pi_institution_state,active_person_count
Minnesota,179.0,nonR1,pi_institution_state,active_person_count
North Carolina,160.0,nonR1,pi_institution_state,active_person_count
New Jersey,159.0,nonR1,pi_institution_state,active_person_count
Michigan,136.0,nonR1,pi_institution_state,active_person_count
South Carolina,130.0,nonR1,pi_institution_state,active_person_count
Georgia,117.0,nonR1,pi_institution_state,active_person_count
Oregon,103.0,nonR1,pi_institution_state,active_person_count
Florida,102.0,nonR1,pi_institution_state,active_person_count
Maryland,100.0,nonR1,pi_institution_state,active_person_count
West Virginia,96.0,nonR1,pi_institution_state,active_person_count
Kentucky,81.0,nonR1,pi_institution_state,active_person_count
Ohio,78.0,nonR1,pi_institution_state,active_person_count
Indiana,64.0,nonR1,pi_institution_state,active_person_count
Idaho,54.0,nonR1,pi_institution_state,active_person_count
Puerto Rico,41.0,nonR1,pi_institution_state,active_person_count
Utah,41.0,nonR1,pi_institution_state,active_person_count
Iowa,36.0,nonR1,pi_institution_state,active_person_count
Virginia,36.0,nonR1,pi_institution_state,active_person_count
Washington,36.0,nonR1,pi_institution_state,active_person_count
District of Columbia,34.0,nonR1,pi_institution_state,active_person_count
Alabama,24.0,nonR1,pi_institution_state,active_person_count
New Mexico,22.0,nonR1,pi_institution_state,active_person_count
Connecticut,16.0,nonR1,pi_institution_state,active_person_count
Louisiana,14.0,nonR1,pi_institution_state,active_person_count
Delaware,13.0,nonR1,pi_institution_state,active_person_count
Arkansas,12.0,nonR1,pi_institution_state,active_person_count
Kansas,12.0,nonR1,pi_institution_state,active_person_count
Wisconsin,11.0,nonR1,pi_institution_state,active_person_count
Missouri,7.0,nonR1,pi_institution_state,active_person_count
South Dakota,7.0,nonR1,pi_institution_state,active_person_count
Colorado,6.0,nonR1,pi_institution_state,active_person_count
Maine,4.0,nonR1,pi_institution_state,active_person_count
Mississippi,4.0,nonR1,pi_institution_state,active_person_count
Virgin Islands,4.0,nonR1,pi_institution_state,active_person_count
Alaska,3.0,nonR1,pi_institution_state,active_person_count
Nebraska,3.0,nonR1,pi_institution_state,active_person_count
New Hampshire,3.0,nonR1,pi_institution_state,active_person_count
Unknown,1.0,nonR1,pi_institution_state,active_person_count
California,152.0,nonR1,pi_institution_state,active_allocation_count
New York,122.0,nonR1,pi_institution_state,active_allocation_count
Illinois,81.0,nonR1,pi_institution_state,active_allocation_count
Pennsylvania,79.0,nonR1,pi_institution_state,active_allocation_count
Texas,64.0,nonR1,pi_institution_state,active_allocation_count
New Jersey,50.0,nonR1,pi_institution_state,active_allocation_count
Tennessee,44.0,nonR1,pi_institution_state,active_allocation_count
Georgia,38.0,nonR1,pi_institution_state,active_allocation_count
Maryland,37.0,nonR1,pi_institution_state,active_allocation_count
North Carolina,34.0,nonR1,pi_institution_state,active_allocation_count
Massachusetts,26.0,nonR1,pi_institution_state,active_allocation_count
Ohio,26.0,nonR1,pi_institution_state,active_allocation_count
Michigan,24.0,nonR1,pi_institution_state,active_allocation_count
Indiana,19.0,nonR1,pi_institution_state,active_allocation_count
Florida,17.0,nonR1,pi_institution_state,active_allocation_count
Puerto Rico,15.0,nonR1,pi_institution_state,active_allocation_count
Oregon,14.0,nonR1,pi_institution_state,active_allocation_count
South Carolina,14.0,nonR1,pi_institution_state,active_allocation_count
Alabama,13.0,nonR1,pi_institution_state,active_allocation_count
Virginia,13.0,nonR1,pi_institution_state,active_allocation_count
Connecticut,11.0,nonR1,pi_institution_state,active_allocation_count
Kentucky,11.0,nonR1,pi_institution_state,active_allocation_count
Washington,11.0,nonR1,pi_institution_state,active_allocation_count
Arkansas,10.0,nonR1,pi_institution_state,active_allocation_count
New Mexico,10.0,nonR1,pi_institution_state,active_allocation_count
West Virginia,10.0,nonR1,pi_institution_state,active_allocation_count
Minnesota,9.0,nonR1,pi_institution_state,active_allocation_count
Iowa,7.0,nonR1,pi_institution_state,active_allocation_count
Wisconsin,7.0,nonR1,pi_institution_state,active_allocation_count
District of Columbia,6.0,nonR1,pi_institution_state,active_allocation_count
Idaho,6.0,nonR1,pi_institution_state,active_allocation_count
Kansas,6.0,nonR1,pi_institution_state,active_allocation_count
Missouri,6.0,nonR1,pi_institution_state,active_allocation_count
Utah,6.0,nonR1,pi_institution_state,active_allocation_count
South Dakota,5.0,nonR1,pi_institution_state,active_allocation_count
Delaware,4.0,nonR1,pi_institution_state,active_allocation_count
Louisiana,4.0,nonR1,pi_institution_state,active_allocation_count
Alaska,3.0,nonR1,pi_institution_state,active_allocation_count
Colorado,3.0,nonR1,pi_institution_state,active_allocation_count
Maine,2.0,nonR1,pi_institution_state,active_allocation_count
Mississippi,2.0,nonR1,pi_institution_state,active_allocation_count
Nebraska,2.0,nonR1,pi_institution_state,active_allocation_count
New Hampshire,2.0,nonR1,pi_institution_state,active_allocation_count
Unknown,2.0,nonR1,pi_institution_state,active_allocation_count
Virgin Islands,1.0,nonR1,pi_institution_state,active_allocation_count
Purdue Anvil CPU,2835912263.7719,R1,resource,total_ace
Expanse,2274274013.3508,R1,resource,total_ace
TACC STAMPEDE3,2226923478.1958,R1,resource,total_ace
Bridges 2 RM,1679381779.5246,R1,resource,total_ace
NCSA DELTA GPU,1390038461.9128,R1,resource,total_ace
NCSA DeltaAI,763443238.0061,R1,resource,total_ace
STAMPEDE2 TACC,519030640.2146,R1,resource,total_ace
