value,amount,group,dimension,metric
NCSA DeltaAI,36.0,nonR1,resource,active_allocation_count
Bridges 2 EM,31.0,nonR1,resource,active_allocation_count
Texas A&M U FASTER,19.0,nonR1,resource,active_allocation_count
Purdue Anvil AI,16.0,nonR1,resource,active_allocation_count
UD DARWIN,7.0,nonR1,resource,active_allocation_count
KyRIC,6.0,nonR1,resource,active_allocation_count
IACS Ookami,5.0,nonR1,resource,active_allocation_count
UD DARWIN GPU,5.0,nonR1,resource,active_allocation_count
JHU Rockfish RM,4.0,nonR1,resource,active_allocation_count
Bridges2 GPU AI,2.0,nonR1,resource,active_allocation_count
High-performance computing,594004512.8205,nonR1,resource_type,total_ace
Data-intensive computing,109193.7114,nonR1,resource_type,total_ace
High-performance computing,6593343.0,nonR1,resource_type,job_count
Data-intensive computing,641.0,nonR1,resource_type,job_count
High-performance computing,753.0,nonR1,resource_type,active_pi_count
Data-intensive computing,6.0,nonR1,resource_type,active_pi_count
High-performance computing,4736.0,nonR1,resource_type,active_person_count
Data-intensive computing,6.0,nonR1,resource_type,active_person_count
High-performance computing,1019.0,nonR1,resource_type,active_allocation_count
Data-intensive computing,6.0,nonR1,resource_type,active_allocation_count
Discover,190618174.5586,nonR1,board_type,total_ace
Accelerate,135731978.5389,nonR1,board_type,total_ace
Maximize,129685999.1266,nonR1,board_type,total_ace
Research,70089639.7779,nonR1,board_type,total_ace
Explore,61907752.9478,nonR1,board_type,total_ace
XSEDE Rapid Response,2827195.8326,nonR1,board_type,total_ace
Startup,1412291.7213,nonR1,board_type,total_ace
Educational,1129998.3779,nonR1,board_type,total_ace
Campus Champions,461971.0525,nonR1,board_type,total_ace
SDSC Discretionary,248704.5979,nonR1,board_type,total_ace
Discover,3838098.0,nonR1,board_type,job_count
Accelerate,1217110.0,nonR1,board_type,job_count
Explore,724008.0,nonR1,board_type,job_count
Maximize,436449.0,nonR1,board_type,job_count
Research,314676.0,nonR1,board_type,job_count
Startup,40064.0,nonR1,board_type,job_count
Educational,10594.0,nonR1,board_type,job_count
SDSC Discretionary,7154.0,nonR1,board_type,job_count
XSEDE Rapid Response,4246.0,nonR1,board_type,job_count
Campus Champions,1585.0,nonR1,board_type,job_count
Explore,467.0,nonR1,board_type,active_pi_count
Discover,290.0,nonR1,board_type,active_pi_count
Research,76.0,nonR1,board_type,active_pi_count
Accelerate,57.0,nonR1,board_type,active_pi_count
Startup,56.0,nonR1,board_type,active_pi_count
Educational,20.0,nonR1,board_type,active_pi_count
Maximize,17.0,nonR1,board_type,active_pi_count
Campus Champions,11.0,nonR1,board_type,active_pi_count
XSEDE Rapid Response,1.0,nonR1,board_type,active_pi_count
SDSC Discretionary,1.0,nonR1,board_type,active_pi_count
Explore,3262.0,nonR1,board_type,active_person_count
Discover,1143.0,nonR1,board_type,active_person_count
Educational,226.0,nonR1,board_type,active_person_count
Research,219.0,nonR1,board_type,active_person_count
Accelerate,214.0,nonR1,board_type,active_person_count
Maximize,88.0,nonR1,board_type,active_person_count
Startup,87.0,nonR1,board_type,active_person_count
Campus Champions,19.0,nonR1,board_type,active_person_count
XSEDE Rapid Response,9.0,nonR1,board_type,active_person_count
SDSC Discretionary,2.0,nonR1,board_type,active_person_count
Explore,550.0,nonR1,board_type,active_allocation_count
Discover,336.0,nonR1,board_type,active_allocation_count
Research,76.0,nonR1,board_type,active_allocation_count
Accelerate,70.0,nonR1,board_type,active_allocation_count
Startup,56.0,nonR1,board_type,active_allocation_count
Educational,22.0,nonR1,board_type,active_allocation_count
Maximize,17.0,nonR1,board_type,active_allocation_count
Campus Champions,11.0,nonR1,board_type,active_allocation_count
XSEDE Rapid Response,1.0,nonR1,board_type,active_allocation_count
SDSC Discretionary,1.0,nonR1,board_type,active_allocation_count
Research,345903910.5372,nonR1,grant_type,total_ace
ACCESS Project,125302765.7371,nonR1,grant_type,total_ace
Dissertation or Thesis,91211082.4131,nonR1,grant_type,total_ace
Science Gateway,12191748.0816,nonR1,grant_type,total_ace
Education,10477413.0638,nonR1,grant_type,total_ace
Campus Champions,3685158.0261,nonR1,grant_type,total_ace
None,2808885.7695,nonR1,grant_type,total_ace
NIP,2532742.9035,nonR1,grant_type,total_ace
Research,4750000.0,nonR1,grant_type,job_count
ACCESS Project,972704.0,nonR1,grant_type,job_count
Dissertation or Thesis,519367.0,nonR1,grant_type,job_count
Education,167128.0,nonR1,grant_type,job_count
Science Gateway,145509.0,nonR1,grant_type,job_count
None,25645.0,nonR1,grant_type,job_count
Campus Champions,10500.0,nonR1,grant_type,job_count
NIP,3131.0,nonR1,grant_type,job_count
Research,420.0,nonR1,grant_type,active_pi_count
ACCESS Project,239.0,nonR1,grant_type,active_pi_count
Dissertation or Thesis,111.0,nonR1,grant_type,active_pi_count
Education,79.0,nonR1,grant_type,active_pi_count
Campus Champions,24.0,nonR1,grant_type,active_pi_count
None,11.0,nonR1,grant_type,active_pi_count
NIP,8.0,nonR1,grant_type,active_pi_count
Science Gateway,7.0,nonR1,grant_type,active_pi_count
Education,1938.0,nonR1,grant_type,active_person_count
ACCESS Project,1508.0,nonR1,grant_type,active_person_count
Research,1214.0,nonR1,grant_type,active_person_count
Dissertation or Thesis,230.0,nonR1,grant_type,active_person_count
Campus Champions,145.0,nonR1,grant_type,active_person_count
None,39.0,nonR1,grant_type,active_person_count
Science Gateway,27.0,nonR1,grant_type,active_person_count
NIP,19.0,nonR1,grant_type,active_person_count
Research,472.0,nonR1,grant_type,active_allocation_count
ACCESS Project,281.0,nonR1,grant_type,active_allocation_count
Dissertation or Thesis,121.0,nonR1,grant_type,active_allocation_count
Education,96.0,nonR1,grant_type,active_allocation_count
Campus Champions,25.0,nonR1,grant_type,active_allocation_count
None,12.0,nonR1,grant_type,active_allocation_count
NIP,8.0,nonR1,grant_type,active_allocation_count
Science Gateway,7.0,nonR1,grant_type,active_allocation_count
Mathematical & Physical Sciences,316495701.2914,nonR1,nsfdirectorate,total_ace
Biological Sciences,106725079.5433,nonR1,nsfdirectorate,total_ace
Engineering,96323903.0507,nonR1,nsfdirectorate,total_ace
Computer & Information Science & Engineering,37843001.3101,nonR1,nsfdirectorate,total_ace
Geosciences,28106137.1265,nonR1,nsfdirectorate,total_ace
Other,5678217.1065,nonR1,nsfdirectorate,total_ace
"Social, Behavioral & Economic Sciences",2941667.1034,nonR1,nsfdirectorate,total_ace
Mathematical & Physical Sciences,2642762.0,nonR1,nsfdirectorate,job_count
Computer & Information Science & Engineering,1943990.0,nonR1,nsfdirectorate,job_count
Biological Sciences,1069728.0,nonR1,nsfdirectorate,job_count
Engineering,692197.0,nonR1,nsfdirectorate,job_count
Other,184302.0,nonR1,nsfdirectorate,job_count
Geosciences,49966.0,nonR1,nsfdirectorate,job_count
"Social, Behavioral & Economic Sciences",11039.0,nonR1,nsfdirectorate,job_count
Mathematical & Physical Sciences,303.0,nonR1,nsfdirectorate,active_pi_count
Computer & Information Science & Engineering,172.0,nonR1,nsfdirectorate,active_pi_count
Biological Sciences,164.0,nonR1,nsfdirectorate,active_pi_count
Engineering,91.0,nonR1,nsfdirectorate,active_pi_count
Other,31.0,nonR1,nsfdirectorate,active_pi_count
Geosciences,26.0,nonR1,nsfdirectorate,active_pi_count
"Social, Behavioral & Economic Sciences",10.0,nonR1,nsfdirectorate,active_pi_count
Computer & Information Science & Engineering,1737.0,nonR1,nsfdirectorate,active_person_count
Mathematical & Physical Sciences,1555.0,nonR1,nsfdirectorate,active_person_count
Other,597.0,nonR1,nsfdirectorate,active_person_count
Biological Sciences,588.0,nonR1,nsfdirectorate,active_person_count
Engineering,355.0,nonR1,nsfdirectorate,active_person_count
Geosciences,61.0,nonR1,nsfdirectorate,active_person_count
"Social, Behavioral & Economic Sciences",16.0,nonR1,nsfdirectorate,active_person_count
Mathematical & Physical Sciences,415.0,nonR1,nsfdirectorate,active_allocation_count
Computer & Information Science & Engineering,222.0,nonR1,nsfdirectorate,active_allocation_count
Biological Sciences,207.0,nonR1,nsfdirectorate,active_allocation_count
Engineering,109.0,nonR1,nsfdirectorate,active_allocation_count
Geosciences,32.0,nonR1,nsfdirectorate,active_allocation_count
Other,32.0,nonR1,nsfdirectorate,active_allocation_count
"Social, Behavioral & Economic Sciences",10.0,nonR1,nsfdirectorate,active_allocation_count
Engineering and Technology,156296785.4514,nonR1,parentscience,total_ace
Physical Sciences,152330125.8968,nonR1,parentscience,total_ace
Biological Sciences,99820283.1119,nonR1,parentscience,total_ace
Chemical Sciences,97148555.6179,nonR1,parentscience,total_ace
Computer and Information Sciences,37843001.3101,nonR1,parentscience,total_ace
Earth and Environmental Sciences,28106137.1265,nonR1,parentscience,total_ace
Mathematics,6887428.9101,nonR1,parentscience,total_ace
Medical and Health Sciences,6677425.5412,nonR1,parentscience,total_ace
Other,5678217.1065,nonR1,parentscience,total_ace
Social Sciences,2941667.1034,nonR1,parentscience,total_ace
Agricultural Sciences,227370.8903,nonR1,parentscience,total_ace
Other Natural Sciences,156708.4659,nonR1,parentscience,total_ace
Computer and Information Sciences,1943990.0,nonR1,parentscience,job_count
Chemical Sciences,1801477.0,nonR1,parentscience,job_count
Engineering and Technology,1108619.0,nonR1,parentscience,job_count
Biological Sciences,617198.0,nonR1,parentscience,job_count
Medical and Health Sciences,444188.0,nonR1,parentscience,job_count
Physical Sciences,281356.0,nonR1,parentscience,job_count
Other,184302.0,nonR1,parentscience,job_count
Other Natural Sciences,85939.0,nonR1,parentscience,job_count
Mathematics,57568.0,nonR1,parentscience,job_count
Earth and Environmental Sciences,49966.0,nonR1,parentscience,job_count
Social Sciences,11039.0,nonR1,parentscience,job_count
Agricultural Sciences,8342.0,nonR1,parentscience,job_count
Computer and Information Sciences,172.0,nonR1,parentscience,active_pi_count
Biological Sciences,146.0,nonR1,parentscience,active_pi_count
Engineering and Technology,139.0,nonR1,parentscience,active_pi_count
Chemical Sciences,133.0,nonR1,parentscience,active_pi_count
Physical Sciences,104.0,nonR1,parentscience,active_pi_count
Other,31.0,nonR1,parentscience,active_pi_count
Mathematics,27.0,nonR1,parentscience,active_pi_count
Earth and Environmental Sciences,26.0,nonR1,parentscience,active_pi_count
Medical and Health Sciences,13.0,nonR1,parentscience,active_pi_count
Social Sciences,10.0,nonR1,parentscience,active_pi_count
Agricultural Sciences,5.0,nonR1,parentscience,active_pi_count
Other Natural Sciences,2.0,nonR1,parentscience,active_pi_count
Computer and Information Sciences,1737.0,nonR1,parentscience,active_person_count
Chemical Sciences,982.0,nonR1,parentscience,active_person_count
Other,597.0,nonR1,parentscience,active_person_count
Engineering and Technology,556.0,nonR1,parentscience,active_person_count
Biological Sciences,521.0,nonR1,parentscience,active_person_count
Physical Sciences,346.0,nonR1,parentscience,active_person_count
Earth and Environmental Sciences,61.0,nonR1,parentscience,active_person_count
Agricultural Sciences,39.0,nonR1,parentscience,active_person_count
